Name,IPEDS_UNITID,University,JoinYear,Rank,Subfield,Bachelors,Masters,Doctorate,PostDoc,Sources1,Sources2,Sources3,Sources4
Laurie Williams,199193,North Carolina State University,,Full,Software Engineering,Lehigh University - USA,Duke University - USA,University of Utah - USA,,http://collaboration.csc.ncsu.edu/laurie/,,,
Matthias Stallmann,199193,North Carolina State University,,Full,Scientific Computing,,,University of Colorado Boulder - USA,,http://www.researchgate.net/profile/Matthias_Stallmann/,,,
Michael Rappa,199193,North Carolina State University,1998,Full,Scientific Computing,,,University of Minnesota - Twin Cities - USA,,http://analytics.ncsu.edu/?page_id=7,,,
Michael Young,199193,North Carolina State University,1999,Full,Artificial Intelligence,California State University - Sacramento - USA,Stanford University - USA,Stanford University - USA,,http://www.csc.ncsu.edu/people/rmyoung;http://www.csc.ncsu.edu/directories/faculty.php;,,,
Min Chi,199193,North Carolina State University,2013,Assistant,Artificial Intelligence,Shanghai Jiao Tong University - Shanghai - China,University of Pittsburgh - USA,University of Pittsburgh - USA,Carnegie Mellon University - USA,http://workthatmatters.ncsu.edu/newhires/chi.php,,,
Mladen Vouk,199193,North Carolina State University,,Full,Software Engineering,,,King's College - United Kingdom,,http://www.csc.ncsu.edu/people/vouk,,,
Munindar P. Singh,199193,North Carolina State University,1993,Full,Scientific Computing,Indian Institute of Technology - Delhi - India,,University of Texas - Austin - USA,,http://en.wikipedia.org/wiki/Munindar_P._Singh,http://www.csc.ncsu.edu/people/mpsingh,,
Nagiza Samatova,199193,North Carolina State University,2007,Full,Programming Languages,Tashkent State University of Economics - Uzbekistan,University of Tennessee - USA,Russian Academy of Sciences - Russia,,http://www.csc.ncsu.edu/faculty/samatova/cv.pdf,,,
Peng Ning,199193,North Carolina State University,2001,Full,Security & Privacy,University of Science and Technology of China - China,University of Science and Technology of China - China,George Mason University - USA,,http://www.csc.ncsu.edu/people/pning,,,
R. Michael Young,199193,North Carolina State University,1999,Full,Graphics,California State University - Sacramento - USA,Stanford University - USA,University of Pittsburgh - USA,,http://www.csc.ncsu.edu/people/rmyoung,,,
Rada Y. Chirkova,199193,North Carolina State University,,Associate,Algorithms & Theory,,,Stanford University - USA,,http://dbgroup.ncsu.edu/?page_id=29,,,
Randy Avent,199193,North Carolina State University,,Full,Scientific Computing,University of North Carolina - Chapel Hill - USA,University of North Carolina - Chapel Hill - USA,University of North Carolina - Chapel Hill - USA,,https://www.csc.ncsu.edu/people/rkavent,,,
Robert D. Rodman,199193,North Carolina State University,,Full,Natural Language & Speech,,,University of California - Los Angeles - USA,,"http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=4&cad=rja&ved=0CEUQFjAD&url=http%3A%2F%2Fbooks.google.com%2Fbooks%2Fabout%2FVoice_recognition.html%3Fid%3DuGBTAAAAMAAJ&ei=Zw_3Uoi0DNCqrAeH44GYAw&usg=AFQjCNF8K1vK3Z1XBHN5pSrMVUM5wS1ASg&sig2=P6GvpXCFfgRDLKirhf2F8Q&bvm=bv.60983673,d.bmk",,,
Robert Fornaro,199193,North Carolina State University,,Full,Software Engineering,Saint Vincent College - USA,Pennsylvania State University - USA,Pennsylvania State University - USA,,http://www.computer.org/portal/web/awards/fornaro,,,
Robert St. Amant,199193,North Carolina State University,2001,Associate,Software Engineering,Johns Hopkins University - USA,,University of Massachusetts - Amherst - USA,,http://www4.ncsu.edu/~stamant/cv.pdf,,,
Rudra Dutta,199193,North Carolina State University,,Full,Networks & Communications,Jadavpur University - India,Indian Institute of Science - Bangalore - India,North Carolina State University - USA,,http://dutta.csc.ncsu.edu/,,,
Sarah Heckman,199193,North Carolina State University,,Teaching,Software Engineering,North Carolina State University - USA,North Carolina State University - USA,North Carolina State University - USA,,http://people.engr.ncsu.edu/sesmith5/,,,
Steffen Heber,199193,North Carolina State University,2003,Associate,Bioinformatics & Computational Biology,,Ruprecht Karl University of Heidelberg - Germany,Ruprecht Karl University of Heidelberg - Germany,,http://statgen.ncsu.edu/~sheber/,,,
Tiffany Barnes,199193,North Carolina State University,,Associate,Computer Education,North Carolina State University - USA,North Carolina State University - USA,North Carolina State University - USA,,http://www.csc.ncsu.edu/people/tmbarnes,,,
Ting Yu,199193,North Carolina State University,2003,Associate,Security & Privacy,Peking University - Beijing - China,University of Minnesota - Twin Cities - USA,University of Illinois at Urbana-Champaign - USA,,http://www4.ncsu.edu/~tyu/,,,
Vincent W. Freeh,199193,North Carolina State University,2003,Associate,Real-Time & Embedded Systems,University of Arizona - USA,University of Arizona - USA,University of Arizona - USA,,http://www.csc.ncsu.edu/people/vwfreeh,,,
William Enck,199193,North Carolina State University,2011,Assistant,Operating Systems,Pennsylvania State University - USA,Pennsylvania State University - USA,Pennsylvania State University - USA,,http://www.csc.ncsu.edu/people/whenck,,,
William J. Stewart,199193,North Carolina State University,1978,Full,Machine Learning & Pattern Recognition,Queen's University - Ontario - Canada,Queen's University - Ontario - Canada,Queen's University - Ontario - Canada,,http://www4.ncsu.edu/~billy/,,,
Xiaohui (Helen) Gu,199193,North Carolina State University,2008,Associate,Real-Time & Embedded Systems,Peking University - Beijing - China,University of Illinois at Urbana-Champaign - USA,University of Illinois at Urbana-Champaign - USA,,http://www.csc.ncsu.edu/people/xgu,,,
Xiaosong Ma,199193,North Carolina State University,,Associate,Hardware & Architecture,Peking University - Beijing - China,,University of Illinois at Urbana-Champaign - USA,,https://www.csc.ncsu.edu/people/xma,,,
Xuxian Jiang,199193,North Carolina State University,,Associate,Networks & Communications,,,Purdue University - USA,,http://www.csc.ncsu.edu/people/xjiang4,,,
Abraham H Haddad,147767,Northwestern University,1988,Full,Algorithms & Theory,,,Princeton University - USA,,http://www.ece.northwestern.edu/~ahaddad/ahhbio.html,,,
Aggelos Katsaggelos,147767,Northwestern University,1985,Full,Networks & Communications,Aristotle University of Thessaloniki - Greece,Georgia Institute of Technology - USA,Georgia Institute of Technology - USA,,http://ivpl.eecs.northwestern.edu/people/akatsaggelos,https://www.mccormick.northwestern.edu/directory/profiles/Aggelos-Katsaggelos.html,,
Alan V Sahakian,147767,Northwestern University,1984,Full,Algorithms & Theory,University of Wisconsin - Parkside - USA,University of Wisconsin - Madison - USA,University of Wisconsin - Madison - USA,,http://users.eecs.northwestern.edu/~sahakian/vita/vitapub.pdf,,,
Aleksandar Kuzmanovic,147767,Northwestern University,2005,Associate,Networks & Communications,University of Belgrade - Serbia,University of Belgrade - Serbia,Rice University - USA,,http://www.cs.northwestern.edu/~akuzma/,http://www.cs.northwestern.edu/~akuzma/doc/akuzma/cv-kuzmanovic.pdf,,
Allen Taflove,147767,Northwestern University,1988,Full,Algorithms & Theory,Northwestern University - USA,Northwestern University - USA,Northwestern University - USA,,http://www.ece.northwestern.edu/ecefaculty/Allen1.html,http://www.mccormick.northwestern.edu/directory/profiles/Allen-Taflove.html,,
Alok N Choudhary,147767,Northwestern University,,Full,Computer Vision,Birla Institute of Technology and Science - Pilani - India,University of Massachusetts - Amherst - USA,University of Illinois at Urbana-Champaign - USA,,http://www.ece.northwestern.edu/~choudhar/,,,
Arthur Butz,147767,Northwestern University,,Associate,Scientific Computing,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,University of Minnesota - Twin Cities - USA,,http://archive.adl.org/learn/ext_us/butz.html,https://www.mccormick.northwestern.edu/directory/profiles/Arthur-Butz.html,,
Benjamin Watson,147767,Northwestern University,2006,Associate,Computer Education,University of California - Irvine - USA,Georgia Institute of Technology - USA,Georgia Institute of Technology - USA,,http://watson.csc.ncsu.edu/p/bio.html,,,
Brenna D Argall,147767,Northwestern University,2011,Assistant,Artificial Intelligence,Carnegie Mellon University - USA,,Carnegie Mellon University - USA,,http://users.eecs.northwestern.edu/~argall/docs/b.argall_cv_short.pdf,http://www.eecs.northwestern.edu/people/userprofile/bargall2011,,
Bryan Pardo,147767,Northwestern University,2004,Associate,Human-Computer Interaction,Ohio State University - USA,Ohio State University - USA,University of Michigan - USA,,http://segal.northwestern.edu/news-events/events/bryan-pardo-teaching-machines-to-listen.html#.UvbLWGKSxns,,,
Chang Liu,147767,Northwestern University,2007,Full,Bioinformatics & Computational Biology,Tsinghua University - Beijing - China,California Institute of Technology - USA,California Institute of Technology - USA,University of Illinois - USA,http://www.mech.northwestern.edu/people/faculty/profiles/liu-chang.html,http://medx.mech.northwestern.edu/about-members/profiles/changliu.html,,
Chi-Haur Wu,147767,Northwestern University,1983,Associate,Computer Vision,National Taiwan University - Taipei - Taiwan,Virginia Polytechnic Institute and State University - USA,Purdue University - USA,,http://users.eecs.northwestern.edu/~chwu/,,,
Christopher Riesbeck,147767,Northwestern University,,Associate,Programming Languages,,,Stanford University - USA,,http://www.cs.northwestern.edu/~riesbeck/,http://www.sesp.northwestern.edu/profile/?p=79&/ChristopherRiesbeck/,,
Chung-Chieh Lee,147767,Northwestern University,,Full,Distributed & Parallel Computing,National Taiwan University - Taipei - Taiwan,Princeton University - USA,Princeton University - USA,,http://www.mccormick.northwestern.edu/directory/profiles/Chung-Chieh-Lee.html,,,
Don Norman,147767,Northwestern University,,Full,Human-Computer Interaction,Massachusetts Institute of Technology - USA,University of Pennsylvania - USA,University of Pennsylvania - USA,,https://www.dropbox.com/s/a8x3lhn0wrrkcz4/Don%20Norman%20Curriculum%20Vitae.doc,http://www.jnd.org/about.html,,
Dongning Guo,147767,Northwestern University,2004,Associate,Software Engineering,University of Science and Technology of China - China,,Princeton University - USA,,http://www.ece.northwestern.edu/~dguo/,http://www.mccormick.northwestern.edu/directory/profiles/Dongning-Guo.html,,
Doug Downey,147767,Northwestern University,2008,Assistant,Natural Language & Speech,Case Western Reserve University - USA,Case Western Reserve University - USA,University of Washington - USA,,http://www.cs.northwestern.edu/~ddowney/downey_CV.pdf,http://www.mccormick.northwestern.edu/directory/profiles/Douglas-Downey.html,,
Fabin E Bustamante,147767,Northwestern University,2008,Associate,Networks & Communications,National University of Patagonia San Juan Bosco - Argentina,Georgia Institute of Technology - USA,Georgia Institute of Technology - USA,,http://www.cs.northwestern.edu/~fabianb/vita/vita.pdf,http://www.mccormick.northwestern.edu/directory/profiles/Fabian-E-Bustamante.html,,
Goce Trajcevski,147767,Northwestern University,2007,Assistant,Algorithms & Theory,University of Sts. Kiril and Metodij - Skopje - Macedonia,University of Illinois at Chicago - USA,University of Illinois at Chicago - USA,Northwestern University - USA,http://www.ece.northwestern.edu/~goce/,,,
Gokhan Memik,147767,Northwestern University,2003,Associate,Hardware & Architecture,Bogaziçi University - Turkey,Northwestern University - USA,University of California - Los Angeles - USA,,http://users.eecs.northwestern.edu/~memik/resu.html,,,
Hai Zhou,147767,Northwestern University,2007,Assistant,Algorithms & Theory,Tsinghua University - Beijing - China,Tsinghua University - Beijing - China,University of Texas - Austin - USA,,http://users.eecs.northwestern.edu/~haizhou/,http://www.mccormick.northwestern.edu/directory/profiles/Hai-Zhou.html,http://www.ece.northwestern.edu/~haizhou/cv.pdf,
Haoqi Zhang,147767,Northwestern University,2013,Assistant,Human-Computer Interaction,Harvard University - USA,,Harvard University - USA,,http://segal.northwestern.edu/news-events/events/haoqi-zhang-segal-seminar.html#.UvbNA2JdUfU,http://users.eecs.northwestern.edu/~hq/hq_cv.pdf,,
Hooman Mohseni,147767,Northwestern University,2004,Associate,Bioinformatics & Computational Biology,Amirkabir University of Technology - Iran,Sharif University of Technology - Tehran - Iran,Northwestern University - USA,,http://users.eecs.northwestern.edu/~hmohseni/,,,
Horace Yuen,147767,Northwestern University,,Full,Graphics,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.mccormick.northwestern.edu/directory/profiles/Horace-Yuen.html,,,
Ian Horswill,147767,Northwestern University,,Associate,Artificial Intelligence,University of Minnesota - Twin Cities - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.cs.northwestern.edu/~ian/,https://www.mccormick.northwestern.edu/directory/profiles/Ian-Horswill.html,,
Jack Tumblin,147767,Northwestern University,,Associate,Graphics,Georgia Institute of Technology - USA,University of Southern California - USA,Georgia Institute of Technology - USA,,http://www.cs.northwestern.edu/~jet/Publications/TumblinCV_2009aug.pdf,,,
